age,gender,height,weight,activity_level,bmi,target_calories,resting_heart_rate,weight_goal,timestamp
28.252549649108328,Male,168.3,71.8,Moderately Active,25.35,2413.0,64.0,Lose Weight,2024-02-17 00:53:29.751212513
22.846026555986914,Female,166.5,85.2,Sedentary,30.73,1985.0,82.0,Lose Weight,2024-02-17 09:39:37.318780081
38.77096799114329,Female,165.7,58.4,Sedentary,21.29,1693.0,70.0,Maintain Weight,2024-02-17 18:25:44.886347648
24.103711093745467,Female,155.9,79.4,Sedentary,32.67,1736.0,84.0,Lose Weight,2024-02-18 03:11:52.453915216
18.052355583976503,Female,160.5,67.1,Very Active,26.05,2703.0,58.0,Lose Weight,2024-02-18 11:58:00.021482783
52.587785227058646,Female,161.8,75.7,Sedentary,28.94,1576.0,80.0,Lose Weight,2024-02-18 20:44:07.589050351
32.29068439416157,Female,161.2,76.2,Moderately Active,29.35,2198.0,75.0,Lose Weight,2024-02-19 05:30:15.156617918
35.81033845625509,Female,164.0,51.2,Moderately Active,19.03,1942.0,61.0,Maintain Weight,2024-02-19 14:16:22.724185486
18.0,Female,170.6,69.6,Sedentary,23.9,1863.0,75.0,Gain Weight,2024-02-19 23:02:30.291753054
28.467407305697808,Female,168.5,65.5,Sedentary,23.06,1743.0,84.0,Gain Weight,2024-02-20 07:48:37.859320621
36.33107107651839,Male,178.3,91.8,Sedentary,28.89,2366.0,97.0,Lose Weight,2024-02-20 16:34:45.426888189
21.188077070932366,Male,185.4,71.7,Moderately Active,20.85,2786.0,69.0,Maintain Weight,2024-02-21 01:20:52.994455756
39.508376220148065,Male,177.5,82.8,Moderately Active,26.27,2580.0,74.0,Maintain Weight,2024-02-21 10:07:00.562023324
27.79233572097434,Male,172.8,83.9,Moderately Active,28.11,2746.0,69.0,Lose Weight,2024-02-21 18:53:08.129590891
31.49967500248068,Male,175.0,79.9,Moderately Active,26.09,2743.0,84.0,Maintain Weight,2024-02-22 03:39:15.697158459
27.77952065324724,Female,154.1,64.5,Sedentary,27.14,1628.0,66.0,Lose Weight,2024-02-22 12:25:23.264726027
57.22733821410725,Female,165.7,57.7,Very Active,21.02,2091.0,60.0,Maintain Weight,2024-02-22 21:11:30.832293594
34.83803330314479,Female,170.0,62.0,Moderately Active,21.46,1959.0,59.0,Gain Weight,2024-02-23 05:57:38.399861162
22.307468852529198,Female,164.3,83.7,Sedentary,31.0,2034.0,60.0,Lose Weight,2024-02-23 14:43:45.967428729
44.870538945238266,Female,168.5,69.8,Very Active,24.56,2526.0,61.0,Maintain Weight,2024-02-23 23:29:53.534996297
20.349876200347733,Female,174.1,72.4,Moderately Active,23.88,2309.0,71.0,Gain Weight,2024-02-24 08:16:01.102563864
37.50636314005706,Female,168.1,64.3,Moderately Active,22.75,2046.0,68.0,Maintain Weight,2024-02-24 17:02:08.670131432
18.0,Male,166.2,49.5,Moderately Active,17.92,2095.0,69.0,Gain Weight,2024-02-25 01:48:16.237699000
19.061767413218835,Male,179.2,67.0,Very Active,20.86,2832.0,75.0,Maintain Weight,2024-02-25 10:34:23.805266567
37.36233483042948,Male,181.2,97.6,Moderately Active,29.73,2950.0,68.0,Maintain Weight,2024-02-25 19:20:31.372834135
43.86159895994493,Male,171.8,61.6,Sedentary,20.88,1922.0,84.0,Maintain Weight,2024-02-26 04:06:38.940401702
37.05641937427965,Female,163.5,71.5,Sedentary,26.76,1811.0,75.0,Lose Weight,2024-02-26 12:52:46.507969270
33.612220611341115,Female,168.3,70.8,Very Active,25.01,2489.0,61.0,Lose Weight,2024-02-26 21:38:54.075536837
31.386755652928535,Female,162.9,55.7,Sedentary,20.98,1630.0,78.0,Maintain Weight,2024-02-27 06:25:01.643104405
18.0,Male,171.7,78.8,Sedentary,26.74,2230.0,77.0,Lose Weight,2024-02-27 15:11:09.210671973
26.3618694992635,Female,162.1,70.5,Moderately Active,26.81,2013.0,83.0,Lose Weight,2024-02-27 23:57:16.778239540
29.47233474848255,Female,159.9,61.5,Moderately Active,24.04,2001.0,78.0,Maintain Weight,2024-02-28 08:43:24.345807108
47.68546671462699,Female,171.4,95.8,Moderately Active,32.61,2470.0,71.0,Lose Weight,2024-02-28 17:29:31.913374675
39.12341947482154,Male,176.9,61.5,Very Active,19.66,2820.0,48.0,Gain Weight,2024-02-29 02:15:39.480942243
18.0,Female,157.1,74.6,Sedentary,30.23,1895.0,77.0,Lose Weight,2024-02-29 11:01:47.048509810
38.88900763273754,Male,171.9,74.8,Sedentary,25.31,2106.0,102.0,Lose Weight,2024-02-29 19:47:54.616077378
30.3790126350042,Male,174.5,88.6,Sedentary,29.09,2260.0,78.0,Lose Weight,2024-03-01 04:34:02.183644946
26.876935996328495,Male,189.7,85.9,Very Active,23.88,3440.0,66.0,Gain Weight,2024-03-01 13:20:09.751212513
42.34011546609042,Male,173.3,65.5,Moderately Active,21.8,2262.0,80.0,Maintain Weight,2024-03-01 22:06:17.318780081
47.371994269951415,Female,171.2,78.9,Sedentary,26.92,1740.0,82.0,Lose Weight,2024-03-02 06:52:24.886347648
46.175361429394385,Male,172.5,57.4,Very Active,19.28,2478.0,56.0,Maintain Weight,2024-03-02 15:38:32.453915216
24.929389721328338,Male,170.5,70.3,Very Active,24.21,2912.0,48.0,Maintain Weight,2024-03-03 00:24:40.021482783
31.289451489785424,Female,165.0,64.2,Very Active,23.6,2312.0,63.0,Maintain Weight,2024-03-03 09:10:47.589050351
38.97516117684277,Female,153.6,57.3,Very Active,24.28,2210.0,56.0,Maintain Weight,2024-03-03 17:56:55.156617918
46.70654152546831,Male,180.2,98.2,Sedentary,30.23,2356.0,81.0,Lose Weight,2024-03-04 02:43:02.724185486
29.24990914585652,Female,164.2,67.7,Moderately Active,25.1,2171.0,61.0,Lose Weight,2024-03-04 11:29:10.291753054
32.772092280034194,Male,173.7,73.8,Moderately Active,24.44,2612.0,68.0,Maintain Weight,2024-03-04 20:15:17.859320621
21.72398031192766,Male,170.5,61.7,Very Active,21.24,2757.0,60.0,Maintain Weight,2024-03-05 05:01:25.426888189
20.64552051103195,Male,184.2,74.2,Moderately Active,21.86,2636.0,72.0,Maintain Weight,2024-03-05 13:47:32.994455756
44.750309868730376,Male,184.9,94.3,Moderately Active,27.56,2924.0,62.0,Lose Weight,2024-03-05 22:33:40.562023324
51.274880342849876,Female,149.4,63.2,Moderately Active,28.31,1712.0,78.0,Lose Weight,2024-03-06 07:19:48.129590891
34.13587854103599,Male,170.8,73.1,Sedentary,25.05,2031.0,75.0,Lose Weight,2024-03-06 16:05:55.697158459
47.04239477470429,Female,165.8,66.3,Moderately Active,24.14,1889.0,58.0,Maintain Weight,2024-03-07 00:52:03.264726027
39.33963230057161,Female,167.3,59.3,Very Active,21.19,2312.0,59.0,Maintain Weight,2024-03-07 09:38:10.832293594
27.258562944738507,Female,158.4,63.6,Very Active,25.35,2210.0,60.0,Lose Weight,2024-03-07 18:24:18.399861162
39.336747266100964,Female,162.7,75.9,Sedentary,28.66,1772.0,81.0,Lose Weight,2024-03-08 03:10:25.967428729
53.45643879759163,Male,161.9,88.5,Sedentary,33.76,1974.0,91.0,Lose Weight,2024-03-08 11:56:33.534996297
34.57008753068058,Female,173.7,67.9,Sedentary,22.49,1712.0,78.0,Maintain Weight,2024-03-08 20:42:41.102563865
53.77572386976807,Male,182.1,75.8,Moderately Active,22.87,2333.0,69.0,Maintain Weight,2024-03-09 05:28:48.670131432
18.0,Female,159.0,59.3,Very Active,23.46,2388.0,54.0,Maintain Weight,2024-03-09 14:14:56.237699000
44.86283005250269,Female,155.6,69.3,Sedentary,28.59,1565.0,87.0,Lose Weight,2024-03-09 23:01:03.805266567
36.044564818858056,Male,170.2,67.7,Moderately Active,23.35,2610.0,71.0,Maintain Weight,2024-03-10 07:47:11.372834135
31.41191179440959,Male,180.5,69.3,Very Active,21.25,3024.0,58.0,Maintain Weight,2024-03-10 16:33:18.940401702
36.101129318426025,Male,161.2,69.2,Moderately Active,26.64,2115.0,57.0,Lose Weight,2024-03-11 01:19:26.507969270
18.0,Female,170.9,76.4,Moderately Active,26.16,2299.0,80.0,Lose Weight,2024-03-11 10:05:34.075536837
32.36393734594986,Female,173.8,64.2,Moderately Active,21.25,2263.0,61.0,Maintain Weight,2024-03-11 18:51:41.643104405
39.28535085814096,Male,181.2,92.2,Moderately Active,28.07,2882.0,66.0,Lose Weight,2024-03-12 03:37:49.210671973
52.73472853689819,Male,166.5,85.1,Sedentary,30.68,2032.0,83.0,Lose Weight,2024-03-12 12:23:56.778239540
28.78075738071623,Male,180.1,79.2,Moderately Active,24.4,2562.0,62.0,Maintain Weight,2024-03-12 21:10:04.345807108
25.29807676528175,Male,175.1,74.3,Moderately Active,24.24,2383.0,60.0,Maintain Weight,2024-03-13 05:56:11.913374675
28.978915476985563,Female,162.0,63.3,Very Active,24.11,2411.0,49.0,Maintain Weight,2024-03-13 14:42:19.480942243
45.98482541242489,Male,168.3,60.7,Moderately Active,21.41,2183.0,75.0,Maintain Weight,2024-03-13 23:28:27.048509810
38.94501331591621,Male,172.2,71.4,Moderately Active,24.09,2448.0,66.0,Maintain Weight,2024-03-14 08:14:34.616077378
28.642877554795533,Male,179.8,56.2,Sedentary,17.39,1970.0,103.0,Gain Weight,2024-03-14 17:00:42.183644946
41.15920919736027,Male,175.7,82.2,Moderately Active,26.63,2775.0,63.0,Lose Weight,2024-03-15 01:46:49.751212513
36.16493059217648,Female,168.1,55.8,Sedentary,19.75,1573.0,73.0,Maintain Weight,2024-03-15 10:32:57.318780081
46.623739886394674,Male,179.1,102.7,Sedentary,32.01,2518.0,75.0,Lose Weight,2024-03-15 19:19:04.886347648
26.57536287347177,Female,170.0,66.5,Moderately Active,23.01,2104.0,72.0,Maintain Weight,2024-03-16 04:05:12.453915216
31.068054240826783,Male,188.8,80.5,Very Active,22.58,3252.0,58.0,Gain Weight,2024-03-16 12:51:20.021482783
30.294702162414108,Male,164.1,63.2,Sedentary,23.49,1853.0,85.0,Maintain Weight,2024-03-16 21:37:27.589050351
18.0,Female,157.5,57.4,Moderately Active,23.14,2059.0,63.0,Lose Weight,2024-03-17 06:23:35.156617919
38.55344332477491,Male,186.3,89.7,Very Active,25.84,3443.0,53.0,Lose Weight,2024-03-17 15:09:42.724185486
38.13266326615867,Female,159.1,45.0,Sedentary,17.78,1306.0,66.0,Gain Weight,2024-03-17 23:55:50.291753054
35.06136147970953,Female,169.4,79.9,Moderately Active,27.83,2198.0,54.0,Lose Weight,2024-03-18 08:41:57.859320621
32.18495439949824,Male,175.7,77.2,Moderately Active,25.01,2427.0,66.0,Lose Weight,2024-03-18 17:28:05.426888189
18.01555109539503,Female,172.1,60.4,Moderately Active,20.38,2105.0,68.0,Maintain Weight,2024-03-19 02:14:12.994455756
29.95225612681569,Female,165.4,59.3,Sedentary,21.7,1607.0,75.0,Maintain Weight,2024-03-19 11:00:20.562023324
30.887425801678766,Female,156.7,80.3,Sedentary,32.71,1856.0,90.0,Lose Weight,2024-03-19 19:46:28.129590892
25.372672769340575,Female,173.9,64.0,Moderately Active,21.16,2311.0,79.0,Lose Weight,2024-03-20 04:32:35.697158459
33.06457146000789,Female,158.8,51.8,Moderately Active,20.54,1729.0,68.0,Maintain Weight,2024-03-20 13:18:43.264726027
39.84861028177446,Female,160.0,78.2,Sedentary,30.55,1869.0,66.0,Lose Weight,2024-03-20 22:04:50.832293594
57.63423081452636,Female,164.1,67.3,Moderately Active,25.02,1803.0,66.0,Lose Weight,2024-03-21 06:50:58.399861162
37.09493375398207,Female,171.3,65.3,Sedentary,22.25,1781.0,75.0,Lose Weight,2024-03-21 15:37:05.967428729
38.090604688673174,Male,168.7,70.2,Moderately Active,24.65,2391.0,65.0,Gain Weight,2024-03-22 00:23:13.534996297
34.106649010805995,Male,165.7,60.1,Sedentary,21.9,1757.0,74.0,Maintain Weight,2024-03-22 09:09:21.102563864
18.0,Female,167.1,70.4,Very Active,25.2,2622.0,57.0,Lose Weight,2024-03-22 17:55:28.670131432
34.6818334946094,Male,173.7,91.2,Sedentary,30.25,2227.0,77.0,Lose Weight,2024-03-23 02:41:36.237699000
35.72276251929232,Female,164.5,76.1,Sedentary,28.13,1751.0,75.0,Lose Weight,2024-03-23 11:27:43.805266567
64.55890534982343,Female,164.8,74.5,Sedentary,27.45,1687.0,82.0,Lose Weight,2024-03-23 20:13:51.372834135
32.69166842262653,Male,181.5,108.8,Sedentary,33.04,2410.0,83.0,Lose Weight,2024-03-24 04:59:58.940401702
38.61856810800335,Female,162.3,60.6,Very Active,23.0,2270.0,55.0,Maintain Weight,2024-03-24 13:46:06.507969270
34.58345876353708,Female,165.3,56.4,Very Active,20.64,2274.0,66.0,Maintain Weight,2024-03-24 22:32:14.075536837
20.975863548565616,Female,146.8,59.9,Sedentary,27.8,1537.0,72.0,Lose Weight,2024-03-25 07:18:21.643104405
48.71387377418024,Female,160.2,77.7,Moderately Active,30.26,2232.0,59.0,Lose Weight,2024-03-25 16:04:29.210671973
44.02319639224129,Male,174.1,63.5,Moderately Active,20.96,2202.0,73.0,Maintain Weight,2024-03-26 00:50:36.778239540
44.49238336451656,Female,163.4,59.5,Very Active,22.28,2028.0,56.0,Maintain Weight,2024-03-26 09:36:44.345807108
24.087350542463135,Female,155.1,60.7,Moderately Active,25.25,1811.0,72.0,Lose Weight,2024-03-26 18:22:51.913374675
51.833531731233194,Female,164.3,69.6,Sedentary,25.78,1579.0,61.0,Lose Weight,2024-03-27 03:08:59.480942243
18.177787246492628,Male,185.6,72.5,Moderately Active,21.05,2889.0,80.0,Maintain Weight,2024-03-27 11:55:07.048509810
42.04228512560324,Female,160.8,70.7,Moderately Active,27.37,2145.0,75.0,Lose Weight,2024-03-27 20:41:14.616077378
61.285467509719744,Male,164.8,95.9,Sedentary,35.28,2092.0,68.0,Lose Weight,2024-03-28 05:27:22.183644946
23.113564098431738,Male,174.9,75.2,Moderately Active,24.59,2559.0,60.0,Gain Weight,2024-03-28 14:13:29.751212513
28.204427244766737,Female,172.5,66.6,Sedentary,22.38,1868.0,93.0,Gain Weight,2024-03-28 22:59:37.318780081
36.19581638105169,Female,171.4,56.9,Moderately Active,19.35,1844.0,65.0,Maintain Weight,2024-03-29 07:45:44.886347648
28.958292150605608,Male,166.2,74.7,Sedentary,27.03,2027.0,73.0,Lose Weight,2024-03-29 16:31:52.453915216
18.0,Female,159.2,69.2,Moderately Active,27.31,2260.0,54.0,Lose Weight,2024-03-30 01:18:00.021482783
35.82275569767233,Male,177.5,80.1,Moderately Active,25.43,2851.0,68.0,Lose Weight,2024-03-30 10:04:07.589050351
22.25235543528674,Male,181.2,78.8,Moderately Active,23.99,2767.0,68.0,Maintain Weight,2024-03-30 18:50:15.156617919
40.68310916762218,Female,161.1,61.4,Sedentary,23.64,1633.0,86.0,Lose Weight,2024-03-31 03:36:22.724185486
23.96690918919436,Female,161.6,54.1,Moderately Active,20.72,1869.0,60.0,Maintain Weight,2024-03-31 12:22:30.291753054
53.59921286021047,Male,172.1,78.5,Moderately Active,26.5,2561.0,59.0,Lose Weight,2024-03-31 21:08:37.859320621
25.600960491965154,Male,156.8,65.7,Moderately Active,26.74,2381.0,73.0,Lose Weight,2024-04-01 05:54:45.426888189
31.135261805531893,Male,176.4,60.2,Moderately Active,19.36,2158.0,77.0,Lose Weight,2024-04-01 14:40:52.994455756
44.76220660843604,Male,178.1,91.2,Moderately Active,28.77,2884.0,59.0,Maintain Weight,2024-04-01 23:27:00.562023324
20.229628202792536,Female,159.3,61.3,Very Active,24.15,2304.0,65.0,Maintain Weight,2024-04-02 08:13:08.129590891
37.72951921524955,Female,163.2,84.1,Sedentary,31.6,1872.0,80.0,Lose Weight,2024-04-02 16:59:15.697158459
50.685713051389136,Female,157.5,50.4,Very Active,20.32,2052.0,65.0,Maintain Weight,2024-04-03 01:45:23.264726027
18.0,Female,155.2,47.9,Moderately Active,19.9,1757.0,70.0,Maintain Weight,2024-04-03 10:31:30.832293594
37.21560630238765,Female,165.7,69.8,Sedentary,25.4,1752.0,60.0,Lose Weight,2024-04-03 19:17:38.399861162
38.11859353098108,Male,177.8,88.6,Sedentary,28.01,2234.0,79.0,Lose Weight,2024-04-04 04:03:45.967428730
44.381874461327726,Female,165.8,91.2,Sedentary,33.19,1969.0,88.0,Lose Weight,2024-04-04 12:49:53.534996297
20.156591469463017,Female,157.2,64.5,Moderately Active,26.12,2138.0,64.0,Lose Weight,2024-04-04 21:36:01.102563865
19.154520642988686,Female,167.4,65.2,Moderately Active,23.27,2056.0,67.0,Gain Weight,2024-04-05 06:22:08.670131432
41.263298787402775,Female,158.2,52.4,Moderately Active,20.92,1657.0,69.0,Maintain Weight,2024-04-05 15:08:16.237699000
38.56381607879823,Female,163.5,74.0,Moderately Active,27.69,2002.0,50.0,Lose Weight,2024-04-05 23:54:23.805266567
38.00591420415052,Male,183.7,71.2,Moderately Active,21.11,2738.0,82.0,Maintain Weight,2024-04-06 08:40:31.372834135
39.15737851396371,Male,167.5,91.2,Sedentary,32.51,2192.0,73.0,Lose Weight,2024-04-06 17:26:38.940401703
26.83970334105811,Male,179.8,80.3,Sedentary,24.86,2208.0,84.0,Maintain Weight,2024-04-07 02:12:46.507969270
37.78704436593204,Female,166.9,80.2,Moderately Active,28.77,2278.0,69.0,Lose Weight,2024-04-07 10:58:54.075536838
38.516869679584175,Male,183.3,96.5,Sedentary,28.72,2470.0,90.0,Maintain Weight,2024-04-07 19:45:01.643104405
26.427782983683585,Male,162.5,67.3,Sedentary,25.45,1958.0,83.0,Lose Weight,2024-04-08 04:31:09.210671973
57.38929413373708,Female,161.8,58.7,Moderately Active,22.44,1684.0,68.0,Maintain Weight,2024-04-08 13:17:16.778239540
40.68599505094145,Female,164.7,62.3,Moderately Active,22.98,1905.0,64.0,Maintain Weight,2024-04-08 22:03:24.345807108
20.704358033568216,Female,158.9,60.2,Very Active,23.86,2545.0,64.0,Maintain Weight,2024-04-09 06:49:31.913374675
42.878643303605955,Male,177.2,72.7,Very Active,23.15,2875.0,51.0,Maintain Weight,2024-04-09 15:35:39.480942243
23.303819957272143,Male,171.5,65.3,Moderately Active,22.22,2362.0,75.0,Maintain Weight,2024-04-10 00:21:47.048509811
44.44501524490943,Female,160.8,60.8,Moderately Active,23.5,1780.0,62.0,Maintain Weight,2024-04-10 09:07:54.616077378
48.903146948088846,Female,160.8,62.6,Moderately Active,24.24,1917.0,79.0,Lose Weight,2024-04-10 17:54:02.183644946
25.151812179779476,Male,174.4,53.6,Moderately Active,17.61,2096.0,71.0,Gain Weight,2024-04-11 02:40:09.751212513
46.56051355093186,Male,177.4,87.6,Sedentary,27.83,2046.0,85.0,Lose Weight,2024-04-11 11:26:17.318780081
39.95337112323798,Female,157.5,52.3,Moderately Active,21.06,1798.0,71.0,Maintain Weight,2024-04-11 20:12:24.886347648
44.86472191993388,Female,160.9,53.6,Very Active,20.69,1881.0,51.0,Gain Weight,2024-04-12 04:58:32.453915216
57.76151579184737,Male,171.6,56.7,Sedentary,19.25,1758.0,73.0,Gain Weight,2024-04-12 13:44:40.021482784
32.05534260796556,Female,152.7,45.0,Moderately Active,19.3,1563.0,75.0,Maintain Weight,2024-04-12 22:30:47.589050351
25.955166027710124,Male,170.3,57.8,Moderately Active,19.93,2253.0,71.0,Maintain Weight,2024-04-13 07:16:55.156617919
24.32582684449372,Male,175.2,71.1,Sedentary,23.16,2080.0,89.0,Maintain Weight,2024-04-13 16:03:02.724185486
25.210276580414742,Male,167.4,94.7,Sedentary,33.81,2383.0,83.0,Lose Weight,2024-04-14 00:49:10.291753054
34.07477948703075,Male,167.4,67.0,Sedentary,23.9,2010.0,72.0,Maintain Weight,2024-04-14 09:35:17.859320621
39.09382369779973,Female,159.1,67.6,Sedentary,26.71,1579.0,74.0,Lose Weight,2024-04-14 18:21:25.426888189
38.320289591960226,Female,160.3,70.9,Sedentary,27.6,1586.0,81.0,Maintain Weight,2024-04-15 03:07:32.994455757
44.92619898843229,Male,179.8,75.2,Very Active,23.26,3147.0,48.0,Gain Weight,2024-04-15 11:53:40.562023324
35.156022702534884,Male,167.0,71.6,Sedentary,25.69,2085.0,93.0,Maintain Weight,2024-04-15 20:39:48.129590892
52.442408925887804,Male,179.7,65.9,Moderately Active,20.41,2104.0,73.0,Gain Weight,2024-04-16 05:25:55.697158459
31.824118001144527,Male,178.2,101.0,Sedentary,31.8,2544.0,90.0,Lose Weight,2024-04-16 14:12:03.264726027
67.64202999907542,Male,162.9,70.6,Very Active,26.61,2608.0,52.0,Lose Weight,2024-04-16 22:58:10.832293594
42.50800817318007,Female,160.5,49.6,Sedentary,19.27,1477.0,90.0,Maintain Weight,2024-04-17 07:44:18.399861162
24.71410932300461,Female,160.6,53.9,Moderately Active,20.93,1819.0,86.0,Maintain Weight,2024-04-17 16:30:25.967428730
22.14929002326665,Female,161.6,58.6,Very Active,22.44,2424.0,53.0,Maintain Weight,2024-04-18 01:16:33.534996297
40.78966898291822,Female,164.9,57.3,Very Active,21.07,2221.0,64.0,Maintain Weight,2024-04-18 10:02:41.102563865
32.31844657608979,Male,170.3,81.2,Sedentary,28.02,2124.0,80.0,Lose Weight,2024-04-18 18:48:48.670131432
43.568005929105105,Male,183.4,72.4,Very Active,21.54,2909.0,52.0,Maintain Weight,2024-04-19 03:34:56.237699000
40.67885149488254,Male,168.1,86.2,Moderately Active,30.5,2558.0,73.0,Lose Weight,2024-04-19 12:21:03.805266567
34.12605304811753,Male,171.7,81.3,Moderately Active,27.57,2489.0,76.0,Lose Weight,2024-04-19 21:07:11.372834135
24.83847538317914,Male,178.2,85.3,Sedentary,26.85,2317.0,75.0,Lose Weight,2024-04-20 05:53:18.940401702
18.0,Female,167.2,84.2,Sedentary,30.11,2038.0,89.0,Lose Weight,2024-04-20 14:39:26.507969270
29.641820575195748,Male,180.5,89.0,Moderately Active,27.32,2928.0,58.0,Lose Weight,2024-04-20 23:25:34.075536838
45.27678553188167,Female,158.1,55.8,Moderately Active,22.31,1679.0,60.0,Maintain Weight,2024-04-21 08:11:41.643104405
37.56912492956245,Female,154.8,51.6,Moderately Active,21.55,1585.0,71.0,Maintain Weight,2024-04-21 16:57:49.210671973
20.051134655456146,Female,155.7,58.8,Moderately Active,24.23,2016.0,70.0,Gain Weight,2024-04-22 01:43:56.778239540
37.078171110214186,Female,159.1,67.3,Moderately Active,26.58,2009.0,65.0,Lose Weight,2024-04-22 10:30:04.345807108
39.62380855674604,Male,173.2,79.7,Sedentary,26.56,2079.0,86.0,Maintain Weight,2024-04-22 19:16:11.913374675
24.393710765586405,Female,159.9,49.3,Moderately Active,19.27,1890.0,74.0,Maintain Weight,2024-04-23 04:02:19.480942243
36.84470127134634,Female,157.4,56.4,Sedentary,22.79,1457.0,87.0,Maintain Weight,2024-04-23 12:48:27.048509811
35.698504621352,Female,154.2,56.6,Moderately Active,23.78,1755.0,69.0,Maintain Weight,2024-04-23 21:34:34.616077378
21.284356426032524,Male,170.8,69.4,Moderately Active,23.77,2566.0,74.0,Lose Weight,2024-04-24 06:20:42.183644946
39.2934483241794,Male,185.0,92.2,Very Active,26.95,3404.0,58.0,Lose Weight,2024-04-24 15:06:49.751212513
41.72941431641881,Male,187.2,71.7,Sedentary,20.46,2216.0,96.0,Lose Weight,2024-04-24 23:52:57.318780081
47.996614918103326,Female,159.3,71.1,Sedentary,28.02,1662.0,73.0,Lose Weight,2024-04-25 08:39:04.886347648
47.645624624418836,Female,163.1,85.0,Sedentary,31.96,1912.0,97.0,Lose Weight,2024-04-25 17:25:12.453915216
18.46796758451491,Male,181.9,116.0,Sedentary,35.09,2745.0,80.0,Lose Weight,2024-04-26 02:11:20.021482784
23.74609952101853,Female,165.6,66.8,Sedentary,24.38,1700.0,69.0,Lose Weight,2024-04-26 10:57:27.589050351
41.18042320650392,Male,175.6,73.9,Very Active,23.98,2711.0,67.0,Maintain Weight,2024-04-26 19:43:35.156617919
41.1654314109465,Male,169.3,81.1,Sedentary,28.28,2004.0,81.0,Lose Weight,2024-04-27 04:29:42.724185486
41.18057223567257,Female,158.7,67.4,Sedentary,26.78,1602.0,87.0,Maintain Weight,2024-04-27 13:15:50.291753054
80.0,Female,159.5,60.3,Moderately Active,23.7,1503.0,79.0,Maintain Weight,2024-04-27 22:01:57.859320621
41.850686128318,Female,156.4,61.9,Moderately Active,25.31,1694.0,72.0,Lose Weight,2024-04-28 06:48:05.426888189
48.62678768216719,Female,161.8,45.0,Moderately Active,17.19,1579.0,66.0,Gain Weight,2024-04-28 15:34:12.994455757
46.448021161918426,Male,169.2,82.2,Sedentary,28.73,2087.0,88.0,Lose Weight,2024-04-29 00:20:20.562023324
42.81669501566957,Male,178.7,77.8,Moderately Active,24.38,2590.0,70.0,Maintain Weight,2024-04-29 09:06:28.129590892
31.21676906431585,Male,177.9,79.5,Sedentary,25.11,2266.0,85.0,Lose Weight,2024-04-29 17:52:35.697158459
44.10763064591921,Male,184.8,116.8,Sedentary,34.19,2598.0,63.0,Lose Weight,2024-04-30 02:38:43.264726027
25.72609742554914,Male,179.6,69.8,Very Active,21.65,2884.0,62.0,Lose Weight,2024-04-30 11:24:50.832293594
32.15817671911989,Female,156.9,60.0,Sedentary,24.39,1634.0,75.0,Gain Weight,2024-04-30 20:10:58.399861162
29.17563742605076,Male,164.5,81.1,Moderately Active,29.97,2790.0,82.0,Lose Weight,2024-05-01 04:57:05.967428729
35.98248967263587,Male,182.4,71.5,Moderately Active,21.5,2453.0,74.0,Lose Weight,2024-05-01 13:43:13.534996297
62.77590280008211,Male,168.0,67.2,Sedentary,23.8,1876.0,82.0,Maintain Weight,2024-05-01 22:29:21.102563865
18.0,Female,165.4,62.1,Very Active,22.71,2714.0,62.0,Maintain Weight,2024-05-02 07:15:28.670131432
